Chidamber-Kemerer metrics,Mon, 17 Nov 2025 14:24:11 KST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.newdawn.spaceinvaders.Assets,4,1,0,0,0,0
org.newdawn.spaceinvaders.Game,20,3,1,0,163,146
org.newdawn.spaceinvaders.Game.EnemyShotEntity,3,2,1,0,11,5
org.newdawn.spaceinvaders.Game.KeyInputHandler,6,2,1,0,23,23
org.newdawn.spaceinvaders.GameConstants,6,1,0,0,2,1
org.newdawn.spaceinvaders.ResourceManager,4,1,1,0,8,2
org.newdawn.spaceinvaders.Sprite,4,1,1,0,15,7
org.newdawn.spaceinvaders.SpriteStore,2,1,2,0,21,5
org.newdawn.spaceinvaders.SystemTimer,2,1,2,0,7,6
org.newdawn.spaceinvaders.entity.AlienEntity,18,2,1,0,44,63
org.newdawn.spaceinvaders.entity.AlienEntity.AlienType,2,n/a,2,n/a,2,0
org.newdawn.spaceinvaders.entity.AlienFactory,8,1,1,0,11,20
org.newdawn.spaceinvaders.entity.Entity,14,1,3,4,23,13
org.newdawn.spaceinvaders.entity.ShipEntity,9,2,2,0,7,6
org.newdawn.spaceinvaders.entity.ShotEntity,6,2,2,0,7,6
org.newdawn.spaceinvaders.entity.movement.BossMovement,3,1,2,0,5,5
org.newdawn.spaceinvaders.entity.movement.MovementStrategy,n/a,n/a,n/a,n/a,2,n/a
org.newdawn.spaceinvaders.entity.movement.NormalMovement,3,1,2,0,3,2
org.newdawn.spaceinvaders.entity.movement.TeleportMovement,3,1,2,0,9,8
org.newdawn.spaceinvaders.entity.movement.WaveMovement,3,1,2,0,5,5
org.newdawn.spaceinvaders.entity.movement.ZigzagMovement,3,1,2,0,3,4
org.newdawn.spaceinvaders.firebase.FirebaseAuthManager,1,1,1,0,18,14
org.newdawn.spaceinvaders.firebase.FirebaseHttpClient,3,1,1,0,30,15
org.newdawn.spaceinvaders.firebase.FirebaseManager,8,1,2,0,134,203
org.newdawn.spaceinvaders.firebase.FirebaseManager.Holder,1,1,0,0,1,0
org.newdawn.spaceinvaders.firebase.FirebaseRankingManager,2,1,1,0,33,18
org.newdawn.spaceinvaders.firebase.FirebaseUserManager,1,1,1,0,19,25
org.newdawn.spaceinvaders.firebase.LoginDialog,2,6,1,0,32,9
org.newdawn.spaceinvaders.firebase.MainMenu,6,6,2,0,67,22
org.newdawn.spaceinvaders.firebase.RankingDialog,2,6,1,0,35,11
org.newdawn.spaceinvaders.game.EntityManager,9,1,2,0,42,40
org.newdawn.spaceinvaders.game.EntityManager.EntityEventListener,n/a,n/a,n/a,n/a,5,n/a
org.newdawn.spaceinvaders.game.GameStateManager,5,1,5,0,60,66
org.newdawn.spaceinvaders.items.DoubleScoreItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.items.DualFireItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.items.GameItem,7,1,5,4,6,6
org.newdawn.spaceinvaders.items.InvincibilityItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.items.ItemManager,6,1,2,0,39,48
org.newdawn.spaceinvaders.items.ItemManager.Effect,2,n/a,2,n/a,2,0
org.newdawn.spaceinvaders.items.ItemRegistry,7,1,1,0,10,2
org.newdawn.spaceinvaders.items.PlusLifeItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.rendering.HPBarRenderer,2,1,1,0,12,9
org.newdawn.spaceinvaders.rendering.ItemPanelRenderer,3,1,1,0,30,23
org.newdawn.spaceinvaders.rendering.ItemPanelRenderer.ItemPanelLayout,1,1,0,0,1,1
org.newdawn.spaceinvaders.rendering.ResourceLoader,1,1,1,0,26,26
org.newdawn.spaceinvaders.rendering.ScreenRenderer,1,1,1,0,17,9
org.newdawn.spaceinvaders.settings.SettingsDialog,2,6,1,0,26,5
org.newdawn.spaceinvaders.settings.SettingsManager,5,1,1,0,18,5
org.newdawn.spaceinvaders.ui.StoreDialog,4,6,1,0,123,67

