Chidamber-Kemerer metrics,Mon, 10 Nov 2025 11:38:17 KST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.newdawn.spaceinvaders.Game,15,3,2,0,202,233
org.newdawn.spaceinvaders.Game.EnemyShotEntity,3,2,1,0,11,5
org.newdawn.spaceinvaders.Game.ItemPanelLayout,1,1,0,0,1,1
org.newdawn.spaceinvaders.Game.KeyInputHandler,5,2,1,0,22,49
org.newdawn.spaceinvaders.Sprite,3,1,1,0,15,7
org.newdawn.spaceinvaders.SpriteStore,3,1,2,0,21,5
org.newdawn.spaceinvaders.SystemTimer,2,1,2,0,7,6
org.newdawn.spaceinvaders.entity.AlienEntity,15,2,1,0,44,63
org.newdawn.spaceinvaders.entity.AlienEntity.AlienType,3,n/a,2,n/a,2,0
org.newdawn.spaceinvaders.entity.AlienFactory,3,1,1,0,8,20
org.newdawn.spaceinvaders.entity.Entity,12,1,3,4,20,11
org.newdawn.spaceinvaders.entity.ShipEntity,4,2,2,0,6,6
org.newdawn.spaceinvaders.entity.ShotEntity,3,2,2,0,6,6
org.newdawn.spaceinvaders.entity.movement.BossMovement,3,1,2,0,5,5
org.newdawn.spaceinvaders.entity.movement.MovementStrategy,n/a,n/a,n/a,n/a,2,n/a
org.newdawn.spaceinvaders.entity.movement.NormalMovement,3,1,2,0,3,2
org.newdawn.spaceinvaders.entity.movement.TeleportMovement,3,1,2,0,9,8
org.newdawn.spaceinvaders.entity.movement.WaveMovement,3,1,2,0,5,5
org.newdawn.spaceinvaders.entity.movement.ZigzagMovement,3,1,2,0,3,4
org.newdawn.spaceinvaders.firebase.FirebaseAuthManager,1,1,1,0,18,14
org.newdawn.spaceinvaders.firebase.FirebaseHttpClient,3,1,1,0,30,15
org.newdawn.spaceinvaders.firebase.FirebaseManager,6,1,3,0,134,203
org.newdawn.spaceinvaders.firebase.FirebaseRankingManager,2,1,1,0,33,18
org.newdawn.spaceinvaders.firebase.FirebaseUserManager,1,1,1,0,19,25
org.newdawn.spaceinvaders.firebase.LoginDialog,2,6,1,0,32,9
org.newdawn.spaceinvaders.firebase.MainMenu,6,6,2,0,65,16
org.newdawn.spaceinvaders.firebase.RankingDialog,2,6,1,0,35,11
org.newdawn.spaceinvaders.items.DoubleScoreItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.items.DualFireItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.items.GameItem,7,1,5,4,6,6
org.newdawn.spaceinvaders.items.InvincibilityItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.items.ItemManager,6,1,2,0,39,48
org.newdawn.spaceinvaders.items.ItemManager.Effect,2,n/a,2,n/a,2,0
org.newdawn.spaceinvaders.items.ItemRegistry,7,1,1,0,10,2
org.newdawn.spaceinvaders.items.PlusLifeItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.settings.SettingsDialog,2,6,1,0,26,5
org.newdawn.spaceinvaders.settings.SettingsManager,3,1,1,0,17,5
org.newdawn.spaceinvaders.ui.StoreDialog,4,6,1,0,123,67

